url, google maps link, basic info, walking, bicycling, transit,
https://chicago.craigslist.org/nwc/apa/d/lombard-spacious-layout-with-private/7127342854.html, https://www.google.com/maps/search/41.872100,-88.016000, 682 ft 2 available may 22 cats are OK - purrr dogs are OK - wooof apartment w/d in unit, 6 hours 49 mins, 2 hours 4 mins, 2 hours 2 mins,
https://chicago.craigslist.org/sox/apa/d/calumet-city-calumet-city-studio/7127342425.html, https://www.google.com/maps/search/41.605035,-87.532099, 0BR  /  1Ba 331 ft 2 available may 20 cats are OK - purrr dogs are OK - wooof apartment, 7 hours 33 mins, 2 hours 7 mins, 2 hours 7 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-logan-square-perfection/7127341513.html, https://www.google.com/maps/search/41.915532,-87.711956, 2BR  /  1Ba cats are OK - purrr dogs are OK - wooof apartment w/d in unit, 1 hour 55 mins, 36 mins, Error Pulling Maps Info!,
https://chicago.craigslist.org/chc/apa/d/chicago-rehabbed-sandburg-village-one/7127341078.html, https://www.google.com/maps/search/41.905832,-87.631753, 1BR  /  1Ba cats are OK - purrr dogs are OK - wooof apartment laundry in bldg, 1 hour 9 mins, 23 mins, 33 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-rare-wicker-park-one-bedroom-in/7127340746.html, https://www.google.com/maps/search/41.900800,-87.652800, 1BR  /  1Ba apartment w/d in unit, 49 mins, 16 mins, 28 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-in-unit-laundry-hot/7127340383.html, https://www.google.com/maps/search/41.976531,-87.662656, 0BR  /  1Ba cats are OK - purrr apartment w/d in unit, 2 hours 37 mins, 51 mins, 1 hour 0 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-1000-sq-ft-private-roof-deck-in/7127339969.html, https://www.google.com/maps/search/41.943632,-87.655555, 3BR  /  2Ba cats are OK - purrr apartment w/d in unit, 1 hour 49 mins, 33 mins, 49 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-2-br-1-bath-luxurious-spacious/7127339771.html, https://www.google.com/maps/search/42.009135,-87.666445, 2BR  /  1.5Ba 1200 ft 2 available jul 1 application fee details:  $50-100 apartment w/d in unit no smoking carport, 3 hours 25 mins, 1 hour 5 mins, 1 hour 3 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-1750-renovated-2br-1ba-in/7127339676.html, https://www.google.com/maps/search/41.954847,-87.712483, 2BR  /  1Ba available jun 1 cats are OK - purrr dogs are OK - wooof apartment w/d in unit street parking, 2 hours 31 mins, 46 mins, 48 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-lincoln-park-beautiful-condo/7127339657.html, https://www.google.com/maps/search/41.923832,-87.639453, 1BR  /  1Ba 965 ft 2 cats are OK - purrr dogs are OK - wooof apartment laundry in bldg attached garage, 1 hour 27 mins, 27 mins, 42 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-rehabbed-jr-1bd-1ba-located-in/7127339136.html, https://www.google.com/maps/search/41.918432,-87.638953, 1BR  /  1Ba apartment laundry in bldg no smoking, 1 hour 20 mins, 25 mins, 42 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-granite-and-stainless-steel/7127338817.html, https://www.google.com/maps/search/41.945032,-87.645954, 4BR  /  3Ba cats are OK - purrr apartment laundry in bldg, 1 hour 52 mins, 33 mins, 47 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-two-outdoor-patios-areas/7127338498.html, https://www.google.com/maps/search/41.939932,-87.655454, 3BR  /  2Ba cats are OK - purrr dogs are OK - wooof apartment w/d in unit off-street parking, 1 hour 44 mins, 32 mins, Error Pulling Maps Info!,
https://chicago.craigslist.org/chc/apa/d/chicago-beautifully-gut-rehabbed/7127338260.html, https://www.google.com/maps/search/41.939900,-87.652800, 0BR  /  1Ba cats are OK - purrr apartment laundry in bldg detached garage, 1 hour 43 mins, 31 mins, Error Pulling Maps Info!,
https://chicago.craigslist.org/sox/apa/d/blue-island-blue-island-2bd-heat/7127337023.html, https://www.google.com/maps/search/41.658200,-87.679500, 2BR  /  1Ba 690 ft 2 available may 20 cats are OK - purrr dogs are OK - wooof apartment laundry on site off-street parking, 5 hours 7 mins, 1 hour 26 mins, 1 hour 30 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-bright-and-spacious-1400-sq-ft/7127336020.html, https://www.google.com/maps/search/41.842732,-87.709854, 2BR  /  1Ba 1400 ft 2 available jun 15 open house dates 
                         monday 2020-05-18 
                     
                         tuesday 2020-05-19 
                     
                         wednesday 2020-05-20 
                     apartment laundry in bldg no smoking carport, 1 hour 23 mins, 29 mins, 36 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-newly-rehabbed-2-bed-1bath-and/7127335165.html, https://www.google.com/maps/search/41.920900,-87.704300, 2BR  /  1Ba 1000 ft 2 available may 31 cats are OK - purrr dogs are OK - wooof apartment w/d in unit no smoking street parking, 1 hour 48 mins, 34 mins, 37 mins,
https://chicago.craigslist.org/nch/apa/d/skokie-beautiful-two-bedroom-apartments/7127334917.html, https://www.google.com/maps/search/42.037022,-87.747248, 2BR  /  1Ba available may 20 cats are OK - purrr apartment off-street parking, 4 hours 38 mins, 1 hour 28 mins, 1 hour 30 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-short-trm-long-trmfurnished-2/7127334736.html, https://www.google.com/maps/search/41.909032,-87.690425, 2BR  /  1Ba 1200 ft 2 available may 31 open house dates 
                         wednesday 2020-05-20 
                     
                         thursday 2020-05-21 
                     
                         friday 2020-05-22 
                     cats are OK - purrr dogs are OK - wooof furnished house w/d in unit no smoking detached garage, 1 hour 28 mins, 28 mins, 39 mins,
https://chicago.craigslist.org/wcl/apa/d/oak-park-beautiful-one-two-bedroom/7127334413.html, https://www.google.com/maps/search/41.886547,-87.800078, 2BR  /  1Ba available may 20 apartment, 2 hours 54 mins, 54 mins, 51 mins,
https://chicago.craigslist.org/nch/apa/d/skokie-beautiful-one-bedroom-apartments/7127333430.html, https://www.google.com/maps/search/42.037022,-87.747248, 1BR  /  1Ba available may 20 cats are OK - purrr apartment off-street parking, 4 hours 38 mins, 1 hour 28 mins, 1 hour 30 mins,
https://chicago.craigslist.org/wcl/apa/d/beautiful-one-bedroom-units-lotus/7127333010.html, https://www.google.com/maps/search/42.035131,-87.763586, 1BR  /  1Ba available jun 1 cats are OK - purrr apartment off-street parking wheelchair accessible, 4 hours 43 mins, 1 hour 24 mins, 1 hour 19 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-2bd-free-cooking-gas-and-heat/7127332972.html, https://www.google.com/maps/search/41.771214,-87.570047, 2BR  /  2Ba 854 ft 2 available may 20 cats are OK - purrr dogs are OK - wooof apartment laundry on site, 3 hours 19 mins, 1 hour 1 min, 57 mins,
https://chicago.craigslist.org/chc/apa/d/glendale-heights-still-doing-on-site/7127332210.html, https://www.google.com/maps/search/41.920500,-88.079300, 1BR  /  1Ba 810 ft 2 cats are OK - purrr dogs are OK - wooof apartment laundry on site off-street parking, 8 hours 18 mins, 2 hours 33 mins, 1 hour 44 mins,
